CRDSecid,AcnoMinor,Notional,InstrCode,IssueCurrency,TradeDate,MaturityDate,HiNetSedol,TransactionType,Quantity,Price,HiNetISIN,LongShort,ExchgBuyRate
1882394258                    ,9539        ,-2500000,ZCINSWP,USD,5/15/2019,2021-05-17 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1887196796                    ,9539        ,-2791237.75,FITRSWP,EUR,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,0.89566
1887196672                    ,9539        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,1
1885758174                    ,7AJF        ,-2500000,PASWPCDX,USD,5/17/2019,2019-12-18 00:00:00,(null),OPTIONS,-2500000,100.6590526,(null),S,(null)
1892193176                    ,7AJF        ,-2785887.81,PASWPCDX,EUR,5/24/2019,2020-05-20 00:00:00,(null),OPTIONS,-2500000,(null),(null),S,(null)
1892193145                    ,7AJF        ,232.27,CURPTOPT,USD,5/24/2019,2024-05-29 00:00:00,(null),OPTIONS,250,(null),(null),L,(null)
1880563541                    ,7AJF        ,-1875000,CRDEFSWP,USD,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,-1875000,96.75234268,(null),S,1
1882394480                    ,7AJF        ,-35872.51,INTRTSWP,INR,5/15/2019,2021-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1880234417                    ,7AJF        ,2788.5,EQTRSWP,USD,5/15/2019,2020-01-15 00:00:00,(null),SWAPS,200,29630.30311,(null),L,1
1882394258                    ,7AJF        ,-2500000,ZCINSWP,USD,5/15/2019,2021-05-17 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1887196672                    ,7AJF        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,1
1887196920                    ,7AJF        ,2000000,FITRSWP,USD,5/20/2019,2020-03-20 00:00:00,(null),SWAPS,2000000,(null),(null),L,1
1892193030                    ,7AJF        ,-2500000,ZCINSWP,USD,5/24/2019,2021-05-29 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1885758211                    ,9810        ,2785887.81,RECSWPOP,EUR,5/17/2019,2020-03-17 00:00:00,(null),OPTIONS,2500000,98.574606,(null),L,(null)
1885777476                    ,9810        ,2500000,RESWPCDX,USD,5/17/2019,2019-08-21 00:00:00,(null),OPTIONS,2500000,113.315,(null),L,(null)
1880563531                    ,9810        ,2785887.81,CRDEFSWP,EUR,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,2500000,(null),(null),L,0.88944
1882393980                    ,9810        ,-596587.52,INTRTSWP,MYR,5/15/2019,2024-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1882393740                    ,9810        ,726559.38,INTRTSWP,SGD,5/15/2019,2022-05-17 00:00:00,(null),SWAPS,1000000,(null),(null),L,(null)
1887196920                    ,9810        ,2000000,FITRSWP,USD,5/20/2019,2020-03-20 00:00:00,(null),SWAPS,2000000,(null),(null),L,1
1885758211                    ,9577        ,2785887.81,RECSWPOP,EUR,5/17/2019,2020-03-17 00:00:00,(null),OPTIONS,2500000,98.574606,(null),L,(null)
1885758248                    ,9577        ,2500000,PAYSWPOP,USD,5/17/2019,2019-11-17 00:00:00,(null),OPTIONS,2500000,(null),(null),L,(null)
1892193176                    ,9577        ,-2785887.81,PASWPCDX,EUR,5/24/2019,2020-05-20 00:00:00,(null),OPTIONS,-2500000,(null),(null),S,(null)
1892193145                    ,9577        ,232.27,CURPTOPT,USD,5/24/2019,2024-05-29 00:00:00,(null),OPTIONS,250,(null),(null),L,(null)
1880563541                    ,9577        ,-1875000,CRDEFSWP,USD,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,-1875000,96.75234268,(null),S,1
1882393980                    ,9577        ,-596587.52,INTRTSWP,MYR,5/15/2019,2024-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1880234417                    ,9577        ,3137.06,EQTRSWP,USD,5/15/2019,2020-01-15 00:00:00,(null),SWAPS,225,29630.30311,(null),L,1
1882394258                    ,9577        ,-2500000,ZCINSWP,USD,5/15/2019,2021-05-17 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1887196796                    ,9577        ,-2791237.75,FITRSWP,EUR,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,0.89566
1887196672                    ,9577        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,1
1892193030                    ,9577        ,-2500000,ZCINSWP,USD,5/24/2019,2021-05-29 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1885758211                    ,70GB        ,2785887.81,RECSWPOP,EUR,5/17/2019,2020-03-17 00:00:00,(null),OPTIONS,2500000,98.574606,(null),L,(null)
1885758248                    ,70GB        ,2500000,PAYSWPOP,USD,5/17/2019,2019-11-17 00:00:00,(null),OPTIONS,2500000,(null),(null),L,(null)
1885777476                    ,70GB        ,2500000,RESWPCDX,USD,5/17/2019,2019-08-21 00:00:00,(null),OPTIONS,2500000,113.315,(null),L,(null)
1885758174                    ,70GB        ,-2500000,PASWPCDX,USD,5/17/2019,2019-12-18 00:00:00,(null),OPTIONS,-2500000,100.6590526,(null),S,(null)
1892193176                    ,70GB        ,-2785887.81,PASWPCDX,EUR,5/24/2019,2020-05-20 00:00:00,(null),OPTIONS,-2500000,(null),(null),S,(null)
1892193145                    ,70GB        ,232.27,CURPTOPT,USD,5/24/2019,2024-05-29 00:00:00,(null),OPTIONS,250,(null),(null),L,(null)
1894296455                    ,70GB        ,2500000,RESWPCDX,USD,5/29/2019,2019-11-20 00:00:00,(null),OPTIONS,2500000,(null),(null),L,(null)
1880563531                    ,70GB        ,2785887.81,CRDEFSWP,EUR,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,2500000,(null),(null),L,0.88944
1882393980                    ,70GB        ,-596587.52,INTRTSWP,MYR,5/15/2019,2024-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1882394480                    ,70GB        ,-35872.51,INTRTSWP,INR,5/15/2019,2021-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1882393740                    ,70GB        ,726559.38,INTRTSWP,SGD,5/15/2019,2022-05-17 00:00:00,(null),SWAPS,1000000,(null),(null),L,(null)
1887196796                    ,70GB        ,-2791237.75,FITRSWP,EUR,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,0.89566
1892193030                    ,70GB        ,-2500000,ZCINSWP,USD,5/24/2019,2021-05-29 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1885758211                    ,3472        ,2785887.81,RECSWPOP,EUR,5/17/2019,2020-03-17 00:00:00,(null),OPTIONS,2500000,98.574606,(null),L,(null)
1885758248                    ,3472        ,2500000,PAYSWPOP,USD,5/17/2019,2019-11-17 00:00:00,(null),OPTIONS,2500000,(null),(null),L,(null)
1880234417                    ,3472        ,4074.13,EQTRSWP,USD,5/13/2019,2020-01-15 00:00:00,(null),SWAPS,275,29630.30311,(null),L,1
1880563541                    ,3472        ,-1875000,CRDEFSWP,USD,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,-1875000,96.75234268,(null),S,1
1882393980                    ,3472        ,-596587.52,INTRTSWP,MYR,5/15/2019,2024-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1882394258                    ,3472        ,-2500000,ZCINSWP,USD,5/15/2019,2021-05-17 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1887196920                    ,3472        ,2000000,FITRSWP,USD,5/20/2019,2020-03-20 00:00:00,(null),SWAPS,2000000,(null),(null),L,1
1885777476                    ,9752        ,2500000,RESWPCDX,USD,5/17/2019,2019-08-21 00:00:00,(null),OPTIONS,2500000,113.315,(null),L,(null)
1885758174                    ,9752        ,-2500000,PASWPCDX,USD,5/17/2019,2019-12-18 00:00:00,(null),OPTIONS,-2500000,100.6590526,(null),S,(null)
1894296455                    ,9752        ,2500000,RESWPCDX,USD,5/29/2019,2019-11-20 00:00:00,(null),OPTIONS,2500000,(null),(null),L,(null)
1880563531                    ,9752        ,2785887.81,CRDEFSWP,EUR,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,2500000,(null),(null),L,0.88944
1882394480                    ,9752        ,-35872.51,INTRTSWP,INR,5/15/2019,2021-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null)
1882393740                    ,9752        ,726559.38,INTRTSWP,SGD,5/15/2019,2022-05-17 00:00:00,(null),SWAPS,1000000,(null),(null),L,(null)
1887196796                    ,9752        ,-2791237.75,FITRSWP,EUR,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,0.89566
1888975875                    ,4568        ,112388.09,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,5785,17.21,(null),L,1
1888975863                    ,4568        ,209948.95,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,2789,74.83,(null),L,1
1888978905                    ,4568        ,140538.07,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,1861,(null),(null),L,1
1888978889                    ,4568        ,37468.04,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,19746,1.52,(null),L,1
1888979066                    ,4568        ,103138.24,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,6562,15.95,(null),L,1
1888976111                    ,4568        ,122604.38,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,2237,57.32,(null),L,1
1888976104                    ,4568        ,32099.83,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,3029,10.59,(null),L,1
1888976138                    ,4568        ,110688.99,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,2821,37.98,(null),L,1
1888976088                    ,4568        ,-107975.76,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-61966,(null),(null),S,1
1888978892                    ,4568        ,-5436.24,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-254,21.31,(null),S,1
1888978908                    ,4568        ,-105730.74,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-20168,5.16,(null),S,1
1888978950                    ,4568        ,-156186.17,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-1747,88.82,(null),S,1
1888978883                    ,4568        ,-180530.44,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-1395,129.32,(null),S,1
1888978941                    ,4568        ,-299773.43,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-18970,15.13,(null),S,1
1888978925                    ,4568        ,-163131.16,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-4336,34.85,(null),S,1
1888975845                    ,4568        ,-245680.39,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-202623,108.228,(null),S,1
1888975866                    ,4568        ,-9360.37,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-68,126.93,(null),S,1
1888978912                    ,4568        ,-180792.29,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-2212,79.47,(null),S,1
1888976013                    ,4568        ,-334487.4,EQTRSWP,NOK,5/21/2019,2020-01-15 00:00:00,9625233                       ,SWAPS,-69408,113.249,(null),S,8.6106
1888975860                    ,4568        ,-8283.03,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-410,19.15,(null),S,1
1888976118                    ,4568        ,-364197.38,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-38086,9.67,(null),S,1
1888976073                    ,4568        ,-167134.27,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-11996,13.52,(null),S,1
1888976076                    ,4568        ,181560.83,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,9043,19.06,(null),L,1
1888976019                    ,4568        ,120489.02,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,4503,31.7,(null),L,1
1888976134                    ,4568        ,223210.16,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,195,1121.41,(null),L,1
1888979045                    ,4568        ,223510.31,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,8535,24.77,(null),L,1
1888978945                    ,4568        ,139097.2,EQTRSWP,EUR,5/21/2019,2020-01-15 00:00:00,9625103                       ,SWAPS,12690,103.225,(null),L,0.88441
1888976094                    ,4568        ,-158899.47,EQTRSWP,GBP,5/21/2019,2020-01-15 00:00:00,9625192                       ,SWAPS,-99788,1.474513952,(null),S,0.79416
1888975857                    ,4568        ,-121196.21,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-2909,39.58,(null),S,1
1888978921                    ,4568        ,-138606.57,EQTRSWP,JPY,5/21/2019,2020-01-15 00:00:00,9625318                       ,SWAPS,-10700,12.61892839,(null),S,109.835
1888975854                    ,4568        ,-155718.71,EQTRSWP,CHF,5/21/2019,2020-01-15 00:00:00,9625437                       ,SWAPS,-7452,22.60671261,(null),S,1.00855
1888978928                    ,4568        ,317010.82,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,984200,(null),(null),L,1
1888978886                    ,4568        ,168240.67,EQTRSWP,CAD,5/21/2019,2020-01-15 00:00:00,9625329                       ,SWAPS,31394,(null),(null),L,1.3412
1888978937                    ,4568        ,396335.5,EQTRSWP,SEK,5/21/2019,2020-01-15 00:00:00,9625299                       ,SWAPS,103291,(null),(null),L,9.64565
1888976006                    ,4568        ,332603.24,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,56977,(null),(null),L,1
1888975869                    ,4568        ,-51868.88,EQTRSWP,JPY,5/21/2019,2020-01-15 00:00:00,9625493                       ,SWAPS,-4900,(null),(null),S,110.59
1888978898                    ,4568        ,-248093.07,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-187594,(null),(null),S,1
1888975995                    ,4568        ,-48017.48,EQTRSWP,CAD,5/21/2019,2020-01-15 00:00:00,9625448                       ,SWAPS,-51418,(null),(null),S,1.3412
1889517358                    ,9810        ,329064,RECSWPOP,USD,5/24/2019,2019-06-24 00:00:00,(null),OPTIONS,329064,(null),(null),L,(null)
1889517358                    ,9752        ,451241,RECSWPOP,USD,5/24/2019,2019-06-24 00:00:00,(null),OPTIONS,451241,(null),(null),L,(null)
1889517358                    ,9878        ,14744,RECSWPOP,USD,5/24/2019,2019-06-24 00:00:00,(null),OPTIONS,14744,(null),(null),L,(null)
1884002155                    ,9810        ,308.54,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636536                       ,OPTIONS,250,121.7557468,(null),L,(null)
1884002119                    ,9810        ,-195.17,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636752                       ,OPTIONS,-250,(null),(null),S,(null)
1884002119                    ,9810        ,-195.17,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636752                       ,OPTIONS,-250,(null),(null),S,(null)
1884002155                    ,9577        ,308.54,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636536                       ,OPTIONS,250,121.7557468,(null),L,(null)
1884002119                    ,9577        ,-195.17,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636752                       ,OPTIONS,-250,(null),(null),S,(null)
1884002119                    ,9577        ,-195.17,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636752                       ,OPTIONS,-250,(null),(null),S,(null)
1884002155                    ,70GB        ,308.54,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636536                       ,OPTIONS,250,121.7557468,(null),L,(null)
1884002119                    ,70GB        ,-195.17,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636752                       ,OPTIONS,-250,(null),(null),S,(null)
1884002119                    ,70GB        ,-195.17,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636752                       ,OPTIONS,-250,(null),(null),S,(null)
1884002155                    ,3472        ,308.54,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636536                       ,OPTIONS,250,121.7557468,(null),L,(null)
1884002119                    ,3472        ,-195.17,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636752                       ,OPTIONS,-250,(null),(null),S,(null)
1884002119                    ,3472        ,-195.17,CURCLOPT,USD,5/16/2019,2020-05-20 00:00:00,9636752                       ,OPTIONS,-250,(null),(null),S,(null)
1884002190                    ,3472        ,233.59,CURCLOPT,EUR,5/16/2019,2020-05-20 00:00:00,9636569                       ,OPTIONS,250,(null),(null),L,(null)
1889517406                    ,3472        ,139958,PAYSWPOP,USD,5/24/2019,2019-07-24 00:00:00,(null),OPTIONS,139958,(null),(null),L,(null)
1894296511                    ,3472        ,2785887.81,PASWPCDX,EUR,5/31/2019,2020-02-19 00:00:00,(null),OPTIONS,2500000,(null),(null),L,(null)
1894296427                    ,9878        ,-2500000,RESWPCDX,USD,5/29/2019,2019-11-20 00:00:00,(null),OPTIONS,-2500000,(null),(null),S,(null)
1885758088                    ,9878        ,2785887.81,RESWPCDX,EUR,5/30/2019,2019-11-20 00:00:00,(null),OPTIONS,2500000,(null),(null),S,(null)
1885758199                    ,9878        ,2785887.81,PAYSWPOP,EUR,5/30/2019,2020-01-17 00:00:00,(null),OPTIONS,2500000,113.0697301,(null),S,(null)
1882393699                    ,3472        ,1816398.45,INTRTSWP,SGD,5/15/2019,2029-05-17 00:00:00,(null),SWAPS,2500000,(null),(null),L,(null)
1887196755                    ,3472        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,101.1316,(null),S,1
1887196692                    ,3472        ,2497421.36,FITRSWP,USD,5/29/2019,2019-05-30 00:00:00,(null),SWAPS,2500000,(null),(null),L,1
1888979532                    ,4568        ,6142500,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,1575000000,(null),(null),L,1
1888979788                    ,4568        ,15897.41,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,113,154.3,(null),L,1
1888979764                    ,4568        ,123176.31,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,9014,13.7,(null),L,1
1888979761                    ,4568        ,92744.96,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,1359,66.44,(null),L,1
1888979785                    ,4568        ,43200.36,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,1896,22.49,(null),L,1
1888979729                    ,4568        ,158465.01,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,2218,74.17,(null),L,1
1888979804                    ,4568        ,294333.31,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,4798,59.81,(null),L,1
1888979616                    ,4568        ,186302.22,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,3868,47.22,(null),L,1
1888979529                    ,4568        ,45614.25,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,6270,5.89,(null),L,1
1888979630                    ,4568        ,295904.18,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,41241,7.82,(null),L,1
1888979624                    ,4568        ,198013.45,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,4930,38.28,(null),L,1
1888979732                    ,4568        ,94015.13,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,4825,20.43,(null),L,1
1888979564                    ,4568        ,188172.84,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,87218,2.13,(null),L,1
1888979723                    ,4568        ,61220.86,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,6761,9.06,(null),L,1
1888979714                    ,4568        ,132829.34,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,8876,14.45,(null),L,1
1888979687                    ,4568        ,107647.5,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,1500,70.37,(null),L,1
1888979726                    ,4568        ,107101.13,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,3071,33.52,(null),L,1
1888980165                    ,4568        ,331514.21,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,26553,12.37,(null),L,1
1888980181                    ,4568        ,4832400,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,1208100000,(null),(null),L,1
1888980153                    ,4568        ,137590.83,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,2965,43.84,(null),L,1
1888979601                    ,4568        ,97164.77,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,4941,18.23,(null),L,1
1888979591                    ,4568        ,127444.86,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,2628,48.23,(null),L,1
1888979581                    ,4568        ,190711.17,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,5382,35.05,(null),L,1
1888979636                    ,4568        ,141248.24,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,6416,22.4,(null),L,1
1888979721                    ,4568        ,315561.18,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,2269,146.3,(null),L,1
1888979696                    ,4568        ,309369.18,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,78770,3.84,(null),L,1
1888979770                    ,4568        ,223406.28,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,4465,52.4,(null),L,1
1888979814                    ,4568        ,66211.37,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,239,276.55,(null),L,1
1888979620                    ,4568        ,329773.31,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,874,379.22,(null),L,1
1888979800                    ,4568        ,-166835.3,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-2980,53.57,(null),S,1
1888979673                    ,4568        ,-21368.77,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-151,143,(null),S,1
1888979627                    ,4568        ,-31820.82,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-1236,25.36,(null),S,1
1888979526                    ,4568        ,-91677.6,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-3360,27.13,(null),S,1
1888979552                    ,4568        ,-70518.69,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-978,69.67,(null),S,1
1888979523                    ,4568        ,-48036.11,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-813,58.62,(null),S,1
1888979705                    ,4568        ,-99440.49,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-135091,(null),(null),S,1
1888979681                    ,4568        ,-92486.48,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-905,102.33,(null),S,1
1888979717                    ,4568        ,-80074.84,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-1784,44.48,(null),S,1
1888979738                    ,4568        ,-77104.14,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-16055,4.39,(null),S,1
1888979708                    ,4568        ,-64173.98,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-3089,19.81,(null),S,1
1888980194                    ,4568        ,-99562.92,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-3048,31.01,(null),S,1
1888980219                    ,4568        ,-397883.19,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-24239,15.8,(null),S,1
1888980178                    ,4568        ,-386022.04,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-7903,53.76,(null),S,1
1888979572                    ,4568        ,-281223.8,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-20283,13.5,(null),S,1
1888979584                    ,4568        ,-117840.29,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-2439,48.99,(null),S,1
1888979597                    ,4568        ,-47562.84,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-936,49.12,(null),S,1
1888979647                    ,4568        ,-175366.8,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-1008,162.66,(null),S,1
1888979676                    ,4568        ,-327483.21,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-28074,12.47,(null),S,1
1888979908                    ,4568        ,-3667.95,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-563,6.5,(null),S,1
1888979684                    ,4568        ,-24071.22,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-2076,10.99,(null),S,1
1888979711                    ,4568        ,-295619.63,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-7857,42.29,(null),S,1
1888979690                    ,4568        ,-168575.85,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-5790,29.82,(null),S,1
